target	frequency
regex=[Ii]ntelligence [Aa]rtificielle	33
intelligence artificielle	24
Intelligence artificielle	9

token	corpus size	all contexts size	frequency	co-frequency	specificity
intelligence artificielle	295	136	24	23	7.06
IA	295	136	66	48	6.26
Intelligence artificielle	295	136	9	9	3.09
artificial intelligence	295	136	8	8	2.74
Artificial intelligence	295	136	7	7	2.39
ai	295	136	16	11	1.43
AI	295	136	4	3	0.68
ia	295	136	4	2	0.43
VillaniGoogleFacebookAmazonÉtats-UnisChineRacismeHôpitalDonnées	295	136	1	1	0.34
personnellesVoyage au cœur de l'IA	295	136	1	1	0.34
* Crise de l'énergie	295	136	1	1	0.34
* Intelligence artificielle	295	136	1	1	0.34
* Autoroute A69	295	136	1	1	0.34
